50YLD,Silver,Suzuki,SJ50QT,2006,Moped,2011-09-19,Bay of Plenty
50ZTZ,Black,Kawasaki,EX,2009,Roadbike,2011-11-16,Auckland City
5132Y,Silver,Trailer,PWC,2001,Boat Trailer,2011-09-18,Southern
516058,Yellow,Yanmar,V1035,0,Self Laying Tracks,2011-08-24,Waitemata
5189Z,Grey,Factory Built,TANDEM TRAILER,1986,Trailer,2011-07-02,Canterbury
51TSR,Red,Yamaha,SH50MJ,1998,Moped,2011-11-29,Central
51UCI,Red,Honda,VFR,1999,Roadbike,2011-08-21,Central
5244E,White,Trailer,LOCAL,1996,Trailer,2011-10-26,Eastern
5250R,Yellow,Trailer,LOCAL,1985,Trailer,2011-09-03,Waikato
53PGW,Red,Kawasaki,QPZ1000A2,1986,Roadbike,2011-12-03,Waitemata
53QNM,Blue,Suzuki,GS850GN,1979,Roadbike,2011-12-12,Auckland City
53YSA,Black,Moped,50QT-11 3IN3IAN,2007,Moped,2011-12-05,Wellington
53YTS,Red,Suzuki,GN250,2007,Roadbike,2011-08-09,Wellington
543S,Orange,Trailer,8X4,2000,Trailer - Heavy,2011-11-29,Waikato
5468H,Silver,Trailer,TANDEM,1997,Trailer,2011-10-13,Canterbury
54TJO,White,Yamaha,FZR,1986,Roadbike,2011-10-17,Central
54WZB,Orange,KTM,EXC,2005,Roadbike,2011-07-05,Canterbury
55UDE,Yellow,Honda,CMX,1999,Roadbike,2011-11-20,Auckland City
55YFA,Silver,Suzuki,SJ50,2006,Moped,2011-09-06,Auckland City
55ZJT,Blue,Suzuki,UZ50,2008,Moped,2011-09-05,Auckland City
55ZWW,Black,Buell,FIREBOLT,2004,Roadbike,2011-11-15,Auckland City
5688Y,Silver,Trailer,KEA,2001,Trailer,2011-08-21,Wellington
5690L,Silver,Trailer,HOMEBUILT,1999,Trailer,2011-10-01,Canterbury
56RBW,Brown,Homebuilt,,1988,Trailer,2011-10-18,Bay of Plenty
56YGM,Grey,Piaggio,SFERA,1994,Roadbike,2011-06-28,Waikato
5707C,Grey,Trailer,NEW,1996,Boat Trailer,2011-07-12,Northland
571T,Silver,Trailer,DOMESTIC,2000,Trailer,2011-09-24,Wellington
57YKR,Red,Honda,DIO,1996,Moped,2011-07-20,Auckland City
57ZGW,Blue,Honda,CB,2008,Roadbike,2011-07-25,Waikato
5871B,Silver,Trailer,LOCAL PRESCOT,1996,Trailer,2011-12-01,Waikato
58UIK,Grey,Piaggio,VESPA,2000,Roadbike,2011-08-08,Wellington
58UWN,Black,PGO,COMET,2003,Moped,2011-07-27,Central
58WWJ,Blue,Moped,FUTONG,2005,Moped,2011-07-05,Counties/Manukau
58YND,Red,Suzuki,SJ50QT,2006,Moped,2011-09-12,Canterbury
59MRI,Grey,Trailer,HOMEMADE,1984,Trailer,2011-07-02,Canterbury
